dataset,model,scenario,run_count,f1_score_mean,f1_score_std,f1_score_drop_mean,f1_score_drop_std
BATADAL,automata,gaussian_noise_0.01,1,0.2769230769230769,0.0,0.0028696691909126937,0.0
BATADAL,automata,gaussian_noise_0.05,1,0.2741116751269035,0.0,0.00568107098708609,0.0
BATADAL,automata,gaussian_noise_0.10,1,0.2634146341463415,0.0,0.0163781119676481,0.0
BATADAL,cnn1d,gaussian_noise_0.01,5,0.0,0.0,0.0,0.0
BATADAL,cnn1d,gaussian_noise_0.05,5,0.0,0.0,0.0,0.0
BATADAL,cnn1d,gaussian_noise_0.10,5,0.0,0.0,0.0,0.0
BATADAL,gru,gaussian_noise_0.01,5,0.036842105263157884,0.08238145180262381,-0.0021754385964912193,0.004864428582631102
BATADAL,gru,gaussian_noise_0.05,5,0.036842105263157884,0.08238145180262381,-0.0021754385964912193,0.004864428582631102
BATADAL,gru,gaussian_noise_0.10,5,0.03636363636363636,0.08131156281817416,-0.0016969696969696968,0.003794539598181461
BATADAL,lstm,gaussian_noise_0.01,5,0.0,0.0,0.0,0.0
BATADAL,lstm,gaussian_noise_0.05,5,0.0,0.0,0.0,0.0
BATADAL,lstm,gaussian_noise_0.10,5,0.0,0.0,0.0,0.0
SKAB,automata,gaussian_noise_0.01,5,0.5210612626847329,0.019114896222847167,0.0,0.0
SKAB,automata,gaussian_noise_0.05,5,0.5211398123566815,0.019081285580729676,-7.854967194875773e-05,0.00017564240608773066
SKAB,automata,gaussian_noise_0.10,5,0.5206270297720721,0.019540546666612157,0.00043423291266078137,0.0006254588935636932
SKAB,cnn1d,gaussian_noise_0.01,25,0.8352278042544199,0.05310613847063975,0.00023174836866696414,0.0010670983374006272
SKAB,cnn1d,gaussian_noise_0.05,25,0.8347379731098318,0.05315494343790686,0.0007215795132551684,0.003707026508697785
SKAB,cnn1d,gaussian_noise_0.10,25,0.8326750711663972,0.05339608943438958,0.0027844814566896003,0.006609989859726862
SKAB,gru,gaussian_noise_0.01,25,0.8750428119399314,0.05607145431467289,0.000299522990267409,0.00044189020462851467
SKAB,gru,gaussian_noise_0.05,25,0.8736122701357736,0.057223954852293556,0.001730064794425048,0.0020453492766802812
SKAB,gru,gaussian_noise_0.10,25,0.8711272696781208,0.057813217689237535,0.004215065252077874,0.0037545038079319156
SKAB,lstm,gaussian_noise_0.01,25,0.8674889360871402,0.07370734428963834,0.00023718664630504539,0.0008396157851177856
SKAB,lstm,gaussian_noise_0.05,25,0.8670030114755325,0.07354730105854544,0.0007231112579126808,0.0022893063178727174
SKAB,lstm,gaussian_noise_0.10,25,0.8664551903637548,0.0726206181360011,0.0012709323696903007,0.003494876351982319
