model,fold,run_count,f1_score_mean,f1_score_std,precision_mean,recall_mean
automata,1.0,1,0.4926819212533498,0.0,0.3600482072913528,0.7800261096605744
automata,2.0,1,0.5143666531768515,0.0,0.3733842538190364,0.8263979193758128
automata,3.0,1,0.5218560860793544,0.0,0.3530482256596906,1.0
automata,4.0,1,0.5347985347985348,0.0,0.365,1.0
automata,5.0,1,0.5416031181155736,0.0,0.3713688124564257,1.0
cnn1d,1.0,5,0.7869528875159228,0.028609256295313547,0.7335374969792406,0.85
cnn1d,2.0,5,0.880064599419876,0.021577021758022202,0.8895274560383217,0.8723016905071521
cnn1d,3.0,5,0.8456304385534292,0.01396204052099713,0.9927322734339545,0.7367268041237114
cnn1d,4.0,5,0.8953375969572714,0.0029064776878736766,0.9965205104936073,0.812826899128269
cnn1d,5.0,5,0.7693122406689346,0.008435671504784477,0.8978659184356925,0.6733416770963705
gru,1.0,5,0.8745367446180602,0.02289014195324147,0.838631617710839,0.9150130548302873
gru,2.0,5,0.9354274801140434,0.008267231541063551,0.9819291537579836,0.8932379713914174
gru,3.0,5,0.8746298650037755,0.05276308833227312,0.9916652939414977,0.785180412371134
gru,4.0,5,0.904914589044363,0.0029869158757067343,0.9961254486049322,0.8290161892901619
gru,5.0,5,0.7872029958707516,0.003114349202499585,0.9352009721605062,0.6797246558197747
lstm,1.0,5,0.8604193561559039,0.04411702613182435,0.8225272018129379,0.9058746736292429
lstm,2.0,5,0.934737039092307,0.006830045477406841,0.9895498728391278,0.8858257477243173
lstm,3.0,5,0.8579048906991862,0.11116732673987818,0.9888083052920379,0.7716494845360825
lstm,4.0,5,0.9074455145913595,0.00486277763017014,0.998503830982442,0.8316313823163138
lstm,5.0,5,0.7781238131284691,0.013747620882662858,0.8614283549812771,0.7256570713391739
